Category,Fuel_Type,Financial_Year,Registrations,Year,Is_EV
2W,EV,FY2014,1895.0,2014,True
2W,Petrol,FY2014,13667561.0,2014,False
3W Passenger,Total,FY2014,353250.0,2014,False
3W Passenger,EV,FY2014,23.0,2014,True
3W Passenger,Diesel,FY2014,232101.0,2014,False
3W Passenger,Petrol/CNG,FY2014,59129.0,2014,False
3W Goods,Total,FY2014,71850.0,2014,False
3W Goods,EV,FY2014,4.0,2014,True
3W Goods,Diesel,FY2014,68843.0,2014,False
3W Goods,CNG,FY2014,2321.0,2014,False
Cars,Total,FY2014,2442265.0,2014,False
Cars,EV,FY2014,451.0,2014,True
Cars,Diesel,FY2014,1317928.0,2014,False
Cars,Petrol,FY2014,946996.0,2014,False
Bus,Total,FY2014,116353.0,2014,False
Bus,EV,FY2014,2.0,2014,True
Bus,Diesel,FY2014,101094.0,2014,False
LGV (up to 7/5 tonnes),Total,FY2014,399208.0,2014,False
LGV (up to 7/5 tonnes),EV,FY2014,37.0,2014,True
LGV (up to 7/5 tonnes),Diesel,FY2014,386878.0,2014,False
MGV (7.5-12 tonnes),Total,FY2014,25869.0,2014,False
MGV (7.5-12 tonnes),EV,FY2014,1.0,2014,True
MGV (7.5-12 tonnes),Diesel,FY2014,25540.0,2014,False
HGV (>12 tonnes),Total,FY2014,158096.0,2014,False
HGV (>12 tonnes),EV,FY2014,10.0,2014,True
HGV (>12 tonnes),Diesel,FY2014,156228.0,2014,False
Others,Total,FY2014,716885.0,2014,False
Others,EV,FY2014,205.0,2014,True
All Vehicles,Total,FY2015,19403029.0,2015,False
All Vehicles,EV,FY2015,2343.0,2015,True
All Vehicles,Petrol,FY2015,16090279.0,2015,False
All Vehicles,Diesel,FY2015,2823881.0,2015,False
2W,Total,FY2015,14961451.0,2015,False
2W,EV,FY2015,1569.0,2015,True
2W,Petrol,FY2015,14934713.0,2015,False
3W Passenger,Total,FY2015,401805.0,2015,False
3W Passenger,EV,FY2015,10.0,2015,True
3W Passenger,Diesel,FY2015,229734.0,2015,False
3W Passenger,Petrol/CNG,FY2015,90492.0,2015,False
3W Goods,Total,FY2015,78306.0,2015,False
3W Goods,EV,FY2015,4.0,2015,True
3W Goods,Diesel,FY2015,74913.0,2015,False
3W Goods,CNG,FY2015,2671.0,2015,False
Cars,Total,FY2015,2567999.0,2015,False
Cars,EV,FY2015,634.0,2015,True
Cars,Diesel,FY2015,1255374.0,2015,False
Cars,Petrol,FY2015,1107683.0,2015,False
Bus,Total,FY2015,106094.0,2015,False
Bus,EV,FY2015,3.0,2015,True
Bus,Diesel,FY2015,87589.0,2015,False
LGV (up to 7/5 tonnes),Total,FY2015,349090.0,2015,False
LGV (up to 7/5 tonnes),EV,FY2015,14.0,2015,True
LGV (up to 7/5 tonnes),Diesel,FY2015,334249.0,2015,False
MGV (7.5-12 tonnes),Total,FY2015,22096.0,2015,False
MGV (7.5-12 tonnes),EV,FY2015,0.0,2015,True
MGV (7.5-12 tonnes),Diesel,FY2015,21893.0,2015,False
HGV (>12 tonnes),Total,FY2015,173045.0,2015,False
HGV (>12 tonnes),EV,FY2015,5.0,2015,True
HGV (>12 tonnes),Diesel,FY2015,171624.0,2015,False
Others,Total,FY2015,747768.0,2015,False
Others,EV,FY2015,163.0,2015,True
All Vehicles,Total,FY2016,20122809.0,2016,False
All Vehicles,EV,FY2016,16169.0,2016,True
All Vehicles,Petrol,FY2016,16864546.0,2016,False
All Vehicles,Diesel,FY2016,2734911.0,2016,False
2W,Total,FY2016,15577836.0,2016,False
2W,EV,FY2016,1471.0,2016,True
2W,Petrol,FY2016,15548753.0,2016,False
3W Passenger,Total,FY2016,395938.0,2016,False
3W Passenger,EV,FY2016,590.0,2016,True
3W Passenger,Diesel,FY2016,222243.0,2016,False
3W Passenger,Petrol/CNG,FY2016,92490.0,2016,False
3W Goods,Total,FY2016,79129.0,2016,False
3W Goods,EV,FY2016,9.0,2016,True
3W Goods,Diesel,FY2016,75258.0,2016,False
3W Goods,CNG,FY2016,2972.0,2016,False
Cars,Total,FY2016,2698413.0,2016,False
Cars,EV,FY2016,782.0,2016,True
Cars,Diesel,FY2016,1208750.0,2016,False
Cars,Petrol,FY2016,1270333.0,2016,False
Bus,Total,FY2016,113448.0,2016,False
Bus,EV,FY2016,4.0,2016,True
Bus,Diesel,FY2016,95320.0,2016,False
LGV (up to 7/5 tonnes),Total,FY2016,338607.0,2016,False
LGV (up to 7/5 tonnes),EV,FY2016,14.0,2016,True
LGV (up to 7/5 tonnes),Diesel,FY2016,322987.0,2016,False
MGV (7.5-12 tonnes),Total,FY2016,24732.0,2016,False
MGV (7.5-12 tonnes),EV,FY2016,0.0,2016,True
MGV (7.5-12 tonnes),Diesel,FY2016,24493.0,2016,False
HGV (>12 tonnes),Total,FY2016,221749.0,2016,False
HGV (>12 tonnes),EV,FY2016,5.0,2016,True
HGV (>12 tonnes),Diesel,FY2016,220015.0,2016,False
Others,Total,FY2016,668482.0,2016,False
Others,EV,FY2016,162.0,2016,True
All Vehicles,Total,FY2017,21651768.0,2017,False
All Vehicles,EV,FY2017,55844.0,2017,True
All Vehicles,Petrol,FY2017,18228389.0,2017,False
All Vehicles,Diesel,FY2017,2771274.0,2017,False
2W,Total,FY2017,16760471.0,2017,False
2W,EV,FY2017,1394.0,2017,True
2W,Petrol,FY2017,16733216.0,2017,False
3W Passenger,Total,FY2017,392987.0,2017,False
3W Passenger,EV,FY2017,1176.0,2017,True
3W Passenger,Diesel,FY2017,206240.0,2017,False
3W Passenger,Petrol/CNG,FY2017,97412.0,2017,False
3W Goods,Total,FY2017,87194.0,2017,False
3W Goods,EV,FY2017,33.0,2017,True
3W Goods,Diesel,FY2017,80598.0,2017,False
3W Goods,CNG,FY2017,1155.0,2017,False
Cars,Total,FY2017,2904723.0,2017,False
Cars,EV,FY2017,769.0,2017,True
Cars,Diesel,FY2017,1170548.0,2017,False
Cars,Petrol,FY2017,1447845.0,2017,False
Bus,Total,FY2017,121171.0,2017,False
Bus,EV,FY2017,4.0,2017,True
Bus,Diesel,FY2017,102217.0,2017,False
LGV (up to 7/5 tonnes),Total,FY2017,351954.0,2017,False
LGV (up to 7/5 tonnes),EV,FY2017,108.0,2017,True
LGV (up to 7/5 tonnes),Diesel,FY2017,335900.0,2017,False
MGV (7.5-12 tonnes),Total,FY2017,29296.0,2017,False
MGV (7.5-12 tonnes),EV,FY2017,0.0,2017,True
MGV (7.5-12 tonnes),Diesel,FY2017,28347.0,2017,False
HGV (>12 tonnes),Total,FY2017,233720.0,2017,False
HGV (>12 tonnes),EV,FY2017,3.0,2017,True
HGV (>12 tonnes),Diesel,FY2017,232306.0,2017,False
Others,Total,FY2017,723882.0,2017,False
Others,EV,FY2017,481.0,2017,True
All Vehicles,Total,FY2018,23959683.0,2018,False
All Vehicles,EV,FY2018,96491.0,2018,True
All Vehicles,Petrol,FY2018,20231975.0,2018,False
All Vehicles,Diesel,FY2018,2952458.0,2018,False
2W,Total,FY2018,18542331.0,2018,False
2W,EV,FY2018,2008.0,2018,True
2W,Petrol,FY2018,18531131.0,2018,False
3W Passenger,Total,FY2018,458359.0,2018,False
3W Passenger,EV,FY2018,560.0,2018,True
3W Passenger,Diesel,FY2018,189358.0,2018,False
3W Passenger,Petrol/CNG,FY2018,169484.0,2018,False
3W Goods,Total,FY2018,97259.0,2018,False
3W Goods,EV,FY2018,137.0,2018,True
3W Goods,Diesel,FY2018,93110.0,2018,False
3W Goods,CNG,FY2018,289.0,2018,False
Cars,Total,FY2018,3153378.0,2018,False
Cars,EV,FY2018,1213.0,2018,True
Cars,Diesel,FY2018,1197222.0,2018,False
Cars,Petrol,FY2018,1657014.0,2018,False
Bus,Total,FY2018,105845.0,2018,False
Bus,EV,FY2018,41.0,2018,True
Bus,Diesel,FY2018,87460.0,2018,False
LGV (up to 7/5 tonnes),Total,FY2018,422079.0,2018,False
LGV (up to 7/5 tonnes),EV,FY2018,661.0,2018,True
LGV (up to 7/5 tonnes),Diesel,FY2018,403787.0,2018,False
MGV (7.5-12 tonnes),Total,FY2018,27288.0,2018,False
MGV (7.5-12 tonnes),EV,FY2018,1.0,2018,True
MGV (7.5-12 tonnes),Diesel,FY2018,25008.0,2018,False
HGV (>12 tonnes),Total,FY2018,244388.0,2018,False
HGV (>12 tonnes),EV,FY2018,0.0,2018,True
HGV (>12 tonnes),Diesel,FY2018,243395.0,2018,False
Others,Total,FY2018,826635.0,2018,False
Others,EV,FY2018,556.0,2018,True
All Vehicles,Total,FY2019,25317093.0,2019,False
All Vehicles,EV,FY2019,146941.0,2019,True
All Vehicles,Petrol,FY2019,21191006.0,2019,False
All Vehicles,Diesel,FY2019,3165488.0,2019,False
2W,Total,FY2019,19501119.0,2019,False
2W,EV,FY2019,28494.0,2019,True
2W,Petrol,FY2019,19470481.0,2019,False
3W Passenger,Total,FY2019,534137.0,2019,False
3W Passenger,EV,FY2019,558.0,2019,True
3W Passenger,Diesel,FY2019,212313.0,2019,False
3W Passenger,Petrol/CNG,FY2019,190779.0,2019,False
3W Goods,Total,FY2019,115637.0,2019,False
3W Goods,EV,FY2019,303.0,2019,True
3W Goods,Diesel,FY2019,108970.0,2019,False
3W Goods,CNG,FY2019,36.0,2019,False
Cars,Total,FY2019,3163364.0,2019,False
Cars,EV,FY2019,1841.0,2019,True
Cars,Diesel,FY2019,1112986.0,2019,False
